0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Kualanamu-Medan,225304,137536,177348,166129,245423,217171,230623,193350,179483,189447,188598,198739,2349151,194485,142432,194290,196820,224658,243783,233543,196022,187938,200496,203033,268705,2486205,18835,13858,20300,11569,14919,20676,20300,15671,12615,13612,16463,17487,196305
Soekarno Hatta-Jakarta,1069185,808614,1195183,1206248,1561849,1527629,1566606,1367804,1310419,1405625,1418906,1627832,16065900,1241322,911234,1301181,1175936,1727989,1558715,1597001,1425516,1324100,1401693,1401797,1520795,16587279,131993,93569,118199,96754,117074,64797,80537,54827,12565,12763,12683,23891,819652
Juanda-Surabaya,301152,220164,319093,285101,501021,404070,447785,346118,339071,367656,371289,413988,4316508,357877,267975,385013,392176,479579,451275,472767,390643,384402,416598,413092,463268,4874665,57684,44512,57028,33198,46362,65942,65584,57435,49916,58140,57352,63590,656743
Hasanudin-Makassar,211736,156830,219928,179676,275356,229651,246482,201465,193865,210265,211856,216028,2553138,359032,286631,406941,364710,458467,428603,434486,366130,344336,390243,397893,436667,4674139,178639,146100,204046,181140,207893,206138,211078,192633,172567,199010,208470,218347,2326061
Ngurah Rai-Bali,317662,191034,290652,224687,395423,362418,408296,341349,299634,341780,317266,388008,3878209,280455,193436,283801,244839,376693,383114,386949,356501,327148,352200,339073,454652,3978861,99,6,131,912,227,71,990,17500,16415,18718,17702,17194,89965
Bandara Lainnya,1768961,1360522,1741696,1702659,2305928,2131861,2132408,1825214,1826528,2052427,2112685,2435005,23395894,1830929,1372892,1759774,1732219,2385514,2211110,2271254,2202688,1859876,2146762,2204112,2476413,24453543,118764,94806,126496,128481,129580,145031,137549,135626,119653,137717,132408,140364,1546475
TOTAL,3894000,2874700,3943900,3764500,5285000,4872800,5032200,4275300,4149000,4567200,4620600,5279600,52558800,4264100,3174600,4331000,4106700,5652900,5276600,5396000,4937500,4427800,4907992,4959000,5620500,57054692,506014,392851,526200,452054,516055,502655,516038,473692,383731,439960,445078,480873,5635201
Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,255263,190693,197738,209681,251463,216748,248679,209408,190778,197989,187237,187584,2543261,225371,199003,228797,242933,247289,259573,248374,215767,203850,208016,206055,254894,2739922,17978,19834,20181,20106,24974,24114,23589,18646,16668,16286,20162,17398,239936
Soekarno Hatta-Jakarta,1419611,1295180,1452671,1490809,1645124,1608563,1737637,1525937,1468845,1582366,1599568,1712363,18538674,1514709,1340349,1452393,1481733,1726730,1626363,1759922,1561457,1495622,1631748,1608502,1653057,18852585,28912,34035,26994,23982,35807,36392,24665,25083,21274,22835,26281,31905,338165
Juanda-Surabaya,408885,364358,387720,387112,551152,440885,521681,416647,415522,448181,417901,446702,5206746,445090,435238,468376,513523,517893,525460,534559,494967,486655,499884,472146,501797,5895588,62828,59220,65281,47149,74862,76344,73445,72688,70295,70978,72404,62328,807822
Hasanudin-Makassar,231757,201365,226555,214910,266986,224750,290263,225646,223066,229759,224648,222794,2782499,387684,359886,407844,404961,463220,439612,470223,402675,396091,415679,409083,437363,4994321,189447,179863,197130,184699,221587,200765,219993,191906,189791,201105,199110,202079,2377475
Ngurah Rai-Bali,395530,299968,329969,332329,380661,423745,489801,427258,389220,435834,386832,429996,4721143,348284,324185,350276,378618,397549,463368,483821,444487,423011,437874,409860,493653,4954986,14044,15746,23567,21412,26495,22035,20458,19436,19416,19408,19593,20726,242336
Bandara Lainnya,2078457,2060039,2222050,2398462,2655317,2561312,2666842,2438407,2337272,2449674,2404317,2619459,28891608,2196054,2099531,2322306,2373324,2820311,2604516,2938193,2498239,2395563,2531791,2606546,2653322,30039696,124982,115225,152353,124658,153275,137227,176645,138845,131242,132185,128610,134030,1649277
TOTAL,4789503,4411603,4816703,5033303,5750703,5476003,5954903,5243303,5024703,5343803,5220503,5618898,62683931,5117192,4758192,5229992,5395092,6172992,5918892,6435092,5617592,5400792,5724992,5712192,5994086,67477098,438191,423923,485506,422006,537000,496877,538795,466604,448686,462797,466160,468466,5655011
Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,225772,178374,158265,230344,191394,190287,216423,190270,205372,177282,167498,188929,2320210,198706,179372,184836,225678,192714,202336,214016,189341,206099,183763,176016,244967,2397844,16630,14430,13299,13219,12690,10270,10371,7418,8818,6572,6302,8199,128218
Soekarno Hatta-Jakarta,1377314,1346856,1362594,1606572,1560672,1584802,1767891,1643381,1614542,1576731,1473972,1747097,18662424,1480626,1412384,1355273,1708263,1601700,1631671,1758303,1724914,1685953,1617089,1480323,1641262,19097761,38378,36464,31428,57703,44056,41406,34085,29585,37184,39787,45755,55547,491378
Juanda-Surabaya,407656,357400,356325,498901,498862,448073,519012,431557,435594,441084,399840,483006,5277310,431195,433919,433316,570889,446800,525882,526993,509346,486022,484438,437405,519387,5805592,53584,51253,51366,37454,56380,59261,62415,64610,58290,51197,52788,31124,629722
